iter	Passed	Remaining
411	3609	5152
412	3617	5142
413	3626	5133
414	3635	5124
415	3642	5114
416	3650	5103
417	3658	5093
418	3667	5084
419	3675	5075
420	3683	5065
421	3691	5056
422	3699	5046
423	3707	5037
424	3715	5027
425	3723	5017
426	3732	5008
427	3739	4998
428	3747	4988
429	3755	4978
430	3763	4968
431	3770	4957
432	3778	4947
433	3786	4938
434	3794	4928
435	3802	4918
436	3810	4909
437	3819	4900
438	3826	4889
439	3834	4880
440	3842	4870
441	3850	4861
442	3858	4851
443	3866	4842
444	3874	4832
445	3883	4823
446	3891	4814
447	3900	4805
448	3908	4795
449	3915	4786
450	3924	4776
451	3932	4767
452	3940	4757
453	3948	4748
454	3956	4738
455	3965	4730
456	3972	4720
457	3980	4711
458	3988	4701
459	3997	4692
460	4005	4682
461	4012	4672
462	4020	4663
463	4028	4653
464	4036	4643
465	4044	4634
466	4053	4625
467	4061	4616
468	4069	4607
469	4077	4597
470	4085	4588
471	4092	4578
472	4100	4569
473	4108	4559
474	4117	4550
475	4125	4541
476	4133	4531
477	4141	4522
478	4149	4513
479	4157	4503
480	4165	4494
481	4173	4484
482	4181	4475
483	4190	4467
484	4198	4458
485	4206	4448
486	4214	4439
487	4222	4430
488	4231	4422
489	4240	4413
490	4250	4406
491	4258	4396
492	4267	4388
493	4274	4378
494	4283	4370
495	4292	4361
496	4301	4353
497	4310	4344
498	4318	4336
499	4327	4327
500	4335	4318
501	4344	4309
502	4353	4301
503	4362	4292
504	4370	4283
505	4379	4275
506	4388	4266
507	4397	4259
508	4406	4250
509	4415	4242
510	4424	4233
511	4434	4226
512	4442	4217
513	4451	4208
514	4460	4200
515	4468	4191
516	4478	4183
517	4486	4174
518	4496	4167
519	4505	4158
520	4515	4151
521	4524	4143
522	4532	4133
523	4542	4126
524	4550	4117
525	4559	4109
526	4568	4100
527	4577	4092
528	4585	4082
529	4594	4073
530	4602	4064
531	4611	4056
532	4619	4047
533	4628	4038
534	4636	4029
535	4644	4021
536	4653	4011
537	4661	4003
538	4669	3993
539	4677	3984
540	4685	3975
541	4694	3966
542	4702	3957
543	4711	3949
544	4723	3943
545	4732	3934
546	4741	3926
547	4749	3917
548	4758	3909
549	4767	3900
550	4776	3892
551	4784	3882
552	4794	3875
553	4802	3865
554	4812	3858
555	4821	3850
556	4829	3841
557	4839	3833
558	4847	3824
559	4856	3815
560	4865	3807
561	4874	3799
562	4882	3789
563	4891	3781
564	4900	3772
565	4909	3764
566	4918	3755
567	4926	3746
568	4934	3738
569	4943	3729
570	4951	3720
571	4960	3711
572	4969	3702
573	4978	3694
574	4987	3686
575	4995	3677
576	5005	3669
577	5014	3660
578	5023	3652
579	5031	3643
580	5040	3635
581	5048	3625
582	5058	3618
583	5066	3609
584	5076	3601
585	5086	3593
586	5095	3584
587	5104	3576
588	5113	3568
589	5124	3560
590	5133	3552
591	5141	3543
592	5150	3535
593	5158	3526
594	5167	3517
595	5175	3508
596	5184	3499
597	5192	3490
598	5201	3482
599	5209	3472
600	5218	3464
601	5226	3455
602	5236	3447
603	5244	3438
604	5255	3431
605	5265	3423
606	5273	3414
607	5282	3405
608	5291	3397
609	5301	3389
610	5309	3380
611	5318	3372
612	5326	3362
613	5337	3355
614	5347	3347
615	5355	3338
616	5365	3330
617	5374	3322
618	5384	3314
619	5392	3305
620	5401	3296
621	5409	3287
622	5417	3278
623	5425	3269
624	5434	3260
625	5441	3251
626	5450	3242
627	5458	3233
628	5466	3224
629	5474	3215
630	5484	3207
631	5492	3198
632	5501	3189
633	5510	3181
634	5518	3172
635	5527	3163
636	5535	3154
637	5545	3146
638	5553	3137
639	5562	3128
640	5570	3119
641	5579	3111
642	5587	3102
643	5597	3094
644	5605	3085
645	5614	3076
646	5623	3067
647	5632	3059
648	5640	3050
649	5649	3041
650	5657	3032
651	5665	3023
652	5673	3014
653	5681	3005
654	5689	2996
655	5698	2988
656	5707	2979
657	5716	2970
658	5725	2962
659	5733	2953
660	5743	2945
661	5751	2936
662	5760	2927
663	5768	2918
664	5777	2910
665	5784	2901
666	5794	2892
667	5802	2883
668	5810	2874
669	5818	2865
670	5827	2857
671	5834	2847
672	5843	2839
673	5851	2830
674	5861	2822
675	5869	2813
676	5879	2805
677	5887	2796
678	5895	2787
679	5904	2778
680	5913	2769
681	5922	2761
682	5930	2752
683	5939	2743
684	5947	2734
685	5956	2726
686	5964	2717
687	5973	2708
688	5981	2700
689	5990	2691
690	5998	2682
691	6007	2673
692	6015	2664
693	6025	2656
694	6035	2648
695	6044	2640
696	6053	2631
697	6060	2622
698	6069	2613
699	6076	2604
700	6085	2595
701	6092	2586
702	6099	2577
703	6107	2567
704	6115	2558
705	6123	2549
706	6131	2541
707	6141	2532
708	6149	2523
709	6159	2515
710	6167	2506
711	6175	2498
712	6185	2489
713	6193	2480
714	6201	2472
715	6209	2463
716	6218	2454
717	6226	2445
718	6235	2436
719	6243	2427
720	6251	2419
721	6260	2410
722	6268	2401
723	6276	2392
724	6285	2384
725	6293	2375
726	6302	2366
727	6310	2357
728	6321	2350
729	6330	2341
730	6338	2332
731	6346	2323
732	6354	2314
733	6362	2305
734	6369	2296
735	6377	2287
736	6385	2278
737	6393	2269
738	6402	2261
739	6410	2252
740	6418	2243
741	6426	2234
742	6434	2225
743	6442	2216
744	6450	2207
745	6457	2198
746	6465	2189
747	6473	2180
748	6481	2171
749	6488	2162
750	6496	2154
751	6504	2145
752	6513	2136
753	6521	2127
754	6529	2118
755	6536	2109
756	6545	2101
757	6552	2092
758	6561	2083
759	6569	2074
760	6576	2065
761	6584	2056
762	6592	2047
763	6599	2038
764	6608	2030
765	6617	2021
766	6626	2013
767	6635	2004
768	6643	1995
769	6650	1986
770	6659	1977
771	6666	1968
772	6674	1960
773	6682	1951
774	6690	1942
775	6699	1933
776	6707	1924
777	6715	1916
778	6722	1907
779	6730	1898
780	6738	1889
781	6746	1880
782	6753	1871
783	6762	1863
784	6770	1854
785	6779	1845
786	6787	1836
787	6795	1828
788	6803	1819
789	6811	1810
790	6818	1801
791	6826	1792
792	6834	1783
793	6842	1775
794	6850	1766
795	6859	1757
796	6867	1749
797	6877	1741
798	6887	1732
799	6931	1732
800	6980	1734
801	6990	1725
802	7002	1718
803	7017	1710
804	7025	1701
805	7033	1693
806	7042	1684
807	7049	1675
808	7057	1666
809	7066	1657
810	7074	1648
811	7082	1639
812	7090	1630
813	7098	1621
814	7108	1613
815	7116	1604
816	7124	1595
817	7134	1587
818	7143	1578
819	7150	1569
820	7159	1560
821	7167	1552
822	7175	1543
823	7185	1534
824	7194	1526
825	7202	1517
826	7211	1508
827	7219	1499
828	7227	1490
829	7235	1482
830	7243	1473
831	7251	1464
832	7259	1455
833	7268	1446
834	7276	1437
835	7285	1429
836	7292	1420
837	7301	1411
838	7310	1402
839	7318	1393
840	7326	1385
841	7334	1376
842	7342	1367
843	7351	1358
844	7359	1349
845	7368	1341
846	7375	1332
847	7384	1323
848	7392	1314
849	7401	1306
850	7409	1297
851	7417	1288
852	7425	1279
853	7434	1271
854	7442	1262
855	7450	1253
856	7459	1244
857	7468	1236
858	7476	1227
859	7484	1218
860	7492	1209
861	7501	1200
862	7510	1192
863	7519	1183
864	7527	1174
865	7536	1166
866	7544	1157
867	7552	1148
868	7560	1139
869	7569	1131
870	7576	1122
871	7585	1113
872	7592	1104
873	7601	1095
874	7610	1087
875	7619	1078
876	7627	1069
